method,clients,alpha,best_client_id,best_client_f1,worst_client_id,worst_client_f1
FLAME,5,0.1,c2,0.5439847103004292,c1,0.18877551020408162
FLAME,5,0.3,c2,1.0,c5,0.31665845525494646
FLAME,5,0.5,c1,0.8290696226180098,c3,0.5399425287356322
FLAME,5,1.0,c3,0.8337744641192917,c4,0.6674342558025362
FLAME,10,0.1,c1,1.0,c4,0.3333333333333333
FLAME,10,0.3,c7,1.0,c3,0.3408239700374532
FLAME,10,0.5,c8,1.0,c7,0.3499080882352941
FLAME,10,1.0,c1,0.8742857142857143,c8,0.682374951463165
FLAME,15,0.1,c1,1.0,c8,0.0
FLAME,15,0.3,c8,1.0,c11,0.4723700637361194
FLAME,15,0.5,c4,1.0,c1,0.47080745341614905
FLAME,15,1.0,c3,0.8378716744913927,c8,0.49844142785319256
FedAvg,5,0.1,c1,1.0,c2,0.4910457277338659
FedAvg,5,0.3,c4,0.7645127118644067,c5,0.43137413197139773
FedAvg,5,0.5,c5,0.8573101092061641,c3,0.5184409540430482
FedAvg,5,1.0,c4,0.839437539874786,c2,0.6555442919525888
FedAvg,10,0.1,c1,1.0,c4,0.3333333333333333
FedAvg,10,0.3,c1,0.7903743315508022,c7,0.42731277533039647
FedAvg,10,0.5,c4,0.8229166666666666,c7,0.3552048726467331
FedAvg,10,1.0,c4,0.8916666666666666,c6,0.39780219780219783
FedAvg,15,0.1,c1,1.0,c8,0.08333333333333333
FedAvg,15,0.3,c8,1.0,c11,0.10892857142857143
FedAvg,15,0.5,c4,1.0,c1,0.4597402597402597
FedAvg,15,1.0,c1,0.8372340425531914,c8,0.49844142785319256
FedCRA,5,0.1,c4,0.7391304347826086,c5,0.21686746987951808
FedCRA,5,0.3,c3,0.7859259259259259,c5,0.3808479108975534
FedCRA,5,0.5,c5,0.7921797070197876,c3,0.5248842592592592
FedCRA,5,1.0,c5,0.7105105784886284,c2,0.6555442919525888
FedCRA,10,0.1,c1,1.0,c8,0.23404255319148937
FedCRA,10,0.3,c7,1.0,c3,0.34848484848484845
FedCRA,10,0.5,c5,0.8015514471936489,c7,0.3499080882352941
FedCRA,10,1.0,c4,0.891614558281225,c7,0.5296938865899802
FedCRA,15,0.1,c1,1.0,c8,0.08333333333333333
FedProx,5,0.1,c3,0.7129083038173947,c1,0.0
FedProx,5,0.3,c2,1.0,c5,0.325570300980137
FedProx,5,0.5,c5,0.8348436748436748,c3,0.5248842592592592
FedProx,5,1.0,c4,0.8362242267957258,c2,0.6708776512698081
FedProx,10,0.1,c1,1.0,c4,0.30303030303030304
FedProx,10,0.3,c7,1.0,c3,0.35597744199061515
FedProx,10,0.5,c8,0.9758685250676098,c7,0.3499080882352941
FedProx,10,1.0,c4,0.8916666666666666,c6,0.39780219780219783
FedProx,15,0.1,c1,1.0,c8,0.0
FedProx,15,0.3,c8,1.0,c11,0.06878810975609756
FedProx,15,0.5,c4,1.0,c1,0.47080745341614905
FedProx,15,1.0,c15,1.0,c8,0.49844142785319256
FedSCaffold,5,0.1,c2,0.5678531768043918,c5,0.15789473684210525
FedSCaffold,5,0.3,c4,0.7208952811893988,c5,0.3339766287069231
FedSCaffold,5,0.5,c5,0.8084284010506786,c4,0.5197668402904746
FedSCaffold,5,1.0,c3,0.8338427923042936,c4,0.666252463123895
FedSCaffold,10,0.1,c1,1.0,c8,0.28181818181818186
FedSCaffold,10,0.3,c7,1.0,c3,0.34848484848484845
FedSCaffold,10,0.5,c4,0.8229166666666666,c7,0.3499080882352941
FedSCaffold,10,1.0,c5,0.8553500869290342,c6,0.39780219780219783
FedSCaffold,15,0.1,c1,1.0,c8,0.0
FedSCaffold,15,0.3,c8,1.0,c11,0.07949308755760368
FedSCaffold,15,0.5,c4,1.0,c1,0.47080745341614905
FedSCaffold,15,1.0,c15,1.0,c8,0.49844142785319256
